bit, value, max detected freq, mag
1,1,77200.0,38447.491420606486
2,0,57200.0,11486.190693494382
3,1,77200.0,41222.857783026106
4,1,77200.0,53958.75641057121
5,0,57200.0,12434.53064250985
6,1,77200.0,41287.68737774584
7,1,77200.0,52991.103723846725
8,0,57200.0,11614.207530980906
9,1,77200.0,39936.65479537047
10,0,57200.0,11946.279487770997
11,1,77200.0,38921.32748277354
12,1,77200.0,50957.65778689346
13,0,57200.0,12669.21345544982
14,1,77200.0,39839.11246971524
15,1,77200.0,52546.48081515249
16,0,57200.0,13809.956583897238
17,1,77200.0,42578.1693890914
18,0,57200.0,13682.71785142933
19,1,77200.0,41804.591181104115
20,1,77200.0,54246.35602204851
21,0,57200.0,13595.53009873431
22,1,77200.0,41317.54449693697
23,1,77200.0,54349.538551518526
24,0,57200.0,13156.453659213033
25,1,77200.0,41059.34631936122
26,0,57200.0,12994.905306422246
27,1,77200.0,39701.589703194135
28,1,77200.0,51926.98790483341
29,0,57200.0,11927.602012879805
30,1,77200.0,38803.98959781437
31,1,77200.0,51556.01390946578
32,0,57200.0,12155.620306236802
33,1,77200.0,40827.6102737825
34,0,57200.0,12507.6435026172
35,1,77200.0,40590.41188413989
36,1,77200.0,53779.09128918567
37,0,57200.0,12138.190619091123
38,1,77200.0,42249.502229817874
39,1,77200.0,54413.958386704864
40,0,57200.0,12855.674927082611
41,1,77200.0,43006.654438734964
42,0,57200.0,13291.238207631583
43,1,77200.0,41254.334030413476
44,1,77200.0,51588.5303431356
45,0,57200.0,13815.082868119196
46,1,77200.0,39015.08442048156
47,1,77200.0,51278.89596768738
48,0,57200.0,13494.319140896623
49,1,77200.0,38761.13349398202
50,0,57200.0,13366.268411569297
51,1,77200.0,38344.19222884341
52,1,77200.0,51762.03244682133
53,0,57200.0,13115.898237303527
54,1,77200.0,38987.40684421676
55,1,77200.0,53570.59806289358
56,0,57200.0,11949.27554314959
57,1,77200.0,40586.70991711969
58,0,57200.0,12742.106163421526
59,1,77200.0,41388.4221316786
60,1,77200.0,53569.07409149068
61,0,57200.0,11572.57173547871
62,1,77200.0,41722.05336593862
63,1,77200.0,51592.395271413545
64,0,57200.0,12047.218421208674
65,1,77200.0,38842.35861492367
66,0,57200.0,12525.2683538766
67,1,77200.0,39142.728752645104
68,1,77200.0,50531.055097424985
69,0,57200.0,13431.333183579643
70,1,77200.0,41843.42443319257
71,1,77200.0,54044.88282624498
72,0,57200.0,13610.638745829683
73,1,77200.0,42317.86727385946
74,0,57200.0,13843.069688749929
75,1,77200.0,42152.477861079286
76,1,77200.0,54299.55492074214
77,0,57200.0,13328.659223136856
78,1,77200.0,41560.48258574467
79,1,77200.0,53493.54336578406
80,0,57200.0,13483.92382066757
81,1,77200.0,39623.61156974331
82,0,57200.0,12418.988408740946
83,1,77200.0,38775.08450444158
84,1,77200.0,51382.6119717296
85,0,57200.0,12925.676881015173
86,1,77200.0,39031.12550089914
87,1,77200.0,51959.47129896284
88,0,57200.0,12452.333421404986
89,1,77200.0,40676.70085148625
90,0,57200.0,12072.311350756398
91,1,77200.0,41275.80529281232
92,1,77200.0,54576.53787126961
93,0,57200.0,12558.045847403724
94,1,77200.0,42728.86888535184
95,1,77200.0,53932.236912925786
96,0,57200.0,12570.615762098398
97,1,77200.0,40948.31307496935
98,0,57200.0,13484.221875225363
99,1,77200.0,39735.379264396004
100,1,77200.0,50059.53480774097
101,0,57200.0,13211.209702412634
102,1,77200.0,38468.46316955722
103,1,77200.0,51888.13969405467
104,0,57200.0,13014.704339273718
105,1,77200.0,40449.87446368038
106,0,57200.0,13169.540928898527
107,1,77200.0,40164.30934661421
108,1,77200.0,53610.21739304315
109,0,57200.0,12328.63552089058
110,1,77200.0,40302.60698400928
111,1,77200.0,53055.81238010558
112,0,57200.0,12106.57343068011
113,1,77200.0,38963.584296264395
114,0,57200.0,12306.273257350544
115,1,77200.0,40591.582699614926
116,1,77200.0,51043.957029197525
117,0,57200.0,11839.531712021428
118,1,77200.0,39057.09096220479
119,1,77200.0,50178.54481506867
120,0,57200.0,12316.20751475403
