#Digilent WaveForms Oscilloscope Acquisition,,,,,,
#Device Name: ADP5250-323F81C,,,,,,
#Serial Number: SN:323F81C,,,,,,
#Date Time: 2023-02-10 16:54:37.530.963.799,,,,,,
#Sample rate: 2.97619e+06Hz,,,,,,
#Samples: 32768,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto,,,,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average,,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full,,,,,,
,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,
-0.005456242,-3.950617284,0,,,,
-0.005455906,-4.032921811,0,,,,
-0.00545557,-1.893004115,0,,,,
-0.005455234,0.082304527,0,,,,
-0.005454898,1.399176955,0,,,,
-0.005454562,0.740740741,0,,,,
-0.005454226,3.127572016,0,,,,
-0.00545389,4.279835391,0,,,,
-0.005453554,4.444444444,0,,,,
-0.005453218,4.526748971,0,,,,
-0.005452882,4.197530864,0,,,,
-0.005452546,2.386831276,0,,,,
-0.00545221,-0.905349794,0,,,,
-0.005451874,-2.304526749,0,,,,
-0.005451538,-1.152263374,0,,,,
-0.005451202,1.481481481,0,,,,
-0.005450866,3.04526749,0,,,,
-0.00545053,1.728395062,0,,,,
-0.005450194,-0.658436214,0,,,,
-0.005449858,-2.962962963,0,,,,
-0.005449522,-3.868312757,0,,,,
-0.005449186,-3.78600823,0,,,,
-0.00544885,-3.209876543,0,,,,
-0.005448514,-1.975308642,0,,,,
-0.005448178,-0.987654321,0,,,,
-0.005447842,0,0,,,,
-0.005447506,3.456790123,0,,,,
-0.00544717,4.526748971,0,,,,
-0.005446834,5.102880658,0,,,,
-0.005446498,4.279835391,0,,,,
-0.005446162,0.164609054,0,,,,
-0.005445826,-3.209876543,0,,,,
-0.00544549,-4.115226337,0,,,,
