#Digilent WaveForms Oscilloscope Acquisition,,,,,,
#Device Name: ADP5250-323F81C,,,,,,
#Serial Number: SN:323F81C,,,,,,
#Date Time: 2023-02-10 16:48:01.658.393.199,,,,,,
#Sample rate: 2.97619e+06Hz,,,,,,
#Samples: 32768,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto,,,,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average,,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full,,,,,,
,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,
-0.005455632,-0.49382716,0,,,,
-0.005455296,-0.411522634,0,,,,
-0.00545496,-0.164609053,0,,,,
-0.005454624,0,0,,,,
-0.005454288,0.24691358,0,,,,
-0.005453952,1.069958848,0,,,,
-0.005453616,-0.164609053,0,,,,
-0.00545328,0.411522634,0,,,,
-0.005452944,-0.740740741,0,,,,
-0.005452608,-0.49382716,0,,,,
-0.005452272,-0.24691358,0,,,,
-0.005451936,-0.329218107,0,,,,
-0.0054516,0.329218107,0,,,,
-0.005451264,0.082304527,0,,,,
-0.005450928,0.49382716,0,,,,
-0.005450592,0.411522634,0,,,,
-0.005450256,-0.082304527,0,,,,
-0.00544992,-0.24691358,0,,,,
-0.005449584,-0.740740741,0,,,,
-0.005449248,-0.329218107,0,,,,
-0.005448912,-0.24691358,0,,,,
-0.005448576,0,0,,,,
-0.00544824,0.24691358,0,,,,
-0.005447904,0.329218107,0,,,,
-0.005447568,0.49382716,0,,,,
-0.005447232,0,0,,,,
-0.005446896,-2.798353909,0,,,,
-0.00544656,-2.057613169,0,,,,
-0.005446224,0.823045267,0,,,,
-0.005445888,-0.24691358,0,,,,
-0.005445552,-4.49E-13,0,,,,
-0.005445216,0.24691358,0,,,,
-0.00544488,0.49382716,0,,,,
-0.005444544,0.329218107,0,,,,
-0.005444208,0,0,,,,
-0.005443872,-0.411522634,0,,,,
-0.005443536,-0.49382716,0,,,,
-0.0054432,-0.329218107,0,,,,
-0.005442864,-0.164609053,0,,,,
-0.005442528,0.082304527,0,,,,
-0.005442192,0.24691358,0,,,,
-0.005441856,0.49382716,0,,,,
-0.00544152,0.329218107,0,,,,
-0.005441184,-0.082304527,0,,,,
-0.005440848,-0.411522634,0,,,,
-0.005440512,-0.49382716,0,,,,
-0.005440176,-0.329218107,0,,,,
-0.00543984,-0.164609053,0,,,,
-0.005439504,-0.24691358,0,,,,
-0.005439168,0.576131687,0,,,,
-0.005438832,0.24691358,0,,,,
-0.005438496,0.411522634,0,,,,
-0.00543816,0.082304527,0,,,,
-0.005437824,-0.49382716,0,,,,
-0.005437488,-0.411522634,0,,,,
-0.005437152,-0.576131687,0,,,,
-0.005436816,1.646090535,0,,,,
-0.00543648,0.658436214,0,,,,
-0.005436144,-0.49382716,0,,,,
-0.005435808,0.49382716,0,,,,
-0.005435472,0.411522634,0,,,,
-0.005435136,0.24691358,0,,,,
-0.0054348,-0.329218107,0,,,,
-0.005434464,-0.49382716,0,,,,
-0.005434128,-0.411522634,0,,,,
-0.005433792,-0.329218107,0,,,,
-0.005433456,0,0,,,,
-0.00543312,0.082304527,0,,,,
-0.005432784,0.329218107,0,,,,
-0.005432448,0.411522634,0,,,,
-0.005432112,0.329218107,0,,,,
-0.005431776,-0.082304527,0,,,,
-0.00543144,-0.576131687,0,,,,
-0.005431104,-0.49382716,0,,,,
-0.005430768,-0.329218107,0,,,,
-0.005430432,-0.082304527,0,,,,
-0.005430096,0.082304527,0,,,,
-0.00542976,0.329218107,0,,,,
-0.005429424,0.49382716,0,,,,
-0.005429088,0.24691358,0,,,,
-0.005428752,-0.164609053,0,,,,
-0.005428416,-0.411522634,0,,,,
-0.00542808,-0.576131687,0,,,,
-0.005427744,-0.24691358,0,,,,
-0.005427408,-0.082304527,0,,,,
-0.005427072,0,0,,,,
-0.005426736,-0.905349794,0,,,,
-0.0054264,-0.24691358,0,,,,
-0.005426064,-1.50E-13,0,,,,
-0.005425728,-0.082304527,0,,,,
-0.005425392,-0.411522634,0,,,,
-0.005425056,-0.164609053,0,,,,
-0.00542472,-0.823045267,0,,,,
-0.005424384,0.082304527,0,,,,
-0.005424048,0,0,,,,
-0.005423712,0,0,,,,
-0.005423376,0.658436214,0,,,,
-0.00542304,0.164609053,0,,,,
-0.005422704,0.411522634,0,,,,
-0.005422368,-0.329218107,0,,,,
-0.005422032,-0.576131687,0,,,,
-0.005421696,-0.329218107,0,,,,
-0.00542136,-0.49382716,0,,,,
-0.005421024,0.082304527,0,,,,
-0.005420688,0.082304527,0,,,,
-0.005420352,0.411522634,0,,,,
-0.005420016,0.49382716,0,,,,
-0.00541968,0.082304527,-0.008230453,,,,
-0.005419344,-0.164609053,0,,,,
-0.005419008,-0.576131687,0,,,,
-0.005418672,-0.329218107,0,,,,
-0.005418336,-0.164609053,0,,,,
-0.005418,0,0,,,,
-0.005417664,0.329218107,0,,,,
-0.005417328,0.329218107,0,,,,
-0.005416992,0.49382716,0,,,,
-0.005416656,0.082304527,0,,,,
-0.00541632,-0.905349794,0,,,,
-0.005415984,-0.329218107,0,,,,
-0.005415648,-0.411522634,0,,,,
-0.005415312,-0.082304527,0,,,,
-0.005414976,0.082304527,0,,,,
-0.00541464,0.329218107,0,,,,
-0.005414304,0.49382716,0,,,,
-0.005413968,0.329218107,0,,,,
-0.005413632,-0.082304527,0,,,,
-0.005413296,-0.411522634,0,,,,
-0.00541296,-0.49382716,0,,,,
-0.005412624,-0.329218107,0,,,,
-0.005412288,-0.164609053,0,,,,
-0.005411952,0.082304527,0,,,,
-0.005411616,0.329218107,0,,,,
-0.00541128,0.49382716,0,,,,
-0.005410944,0.24691358,0,,,,
-0.005410608,-0.24691358,0,,,,
-0.005410272,-0.329218107,0,,,,
-0.005409936,-0.49382716,0,,,,
-0.0054096,-0.329218107,0,,,,
-0.005409264,0.164609053,0,,,,
-0.005408928,8.98E-13,0,,,,
-0.005408592,0.49382716,0,,,,
-0.005408256,0.329218107,0,,,,
-0.00540792,0.082304527,0,,,,
-0.005407584,-0.24691358,0,,,,
-0.005407248,-0.658436214,0,,,,
-0.005406912,-0.411522634,0,,,,
-0.005406576,0.576131687,0,,,,
-0.00540624,1.399176955,0,,,,
-0.005405904,0,0,,,,
-0.005405568,0.329218107,0,,,,
-0.005405232,0.49382716,0,,,,
-0.005404896,0.164609053,0,,,,
-0.00540456,-0.24691358,0,,,,
-0.005404224,-0.49382716,0,,,,
-0.005403888,-0.49382716,0,,,,
-0.005403552,-0.24691358,0,,,,
-0.005403216,-0.164609053,0,,,,
-0.00540288,0.164609053,0,,,,
-0.005402544,0.24691358,0,,,,
-0.005402208,0.49382716,0,,,,
-0.005401872,0.24691358,0,,,,
-0.005401536,-0.164609053,0,,,,
-0.0054012,-0.49382716,0,,,,
-0.005400864,-0.49382716,0,,,,
-0.005400528,-0.329218107,0,,,,
-0.005400192,-0.082304527,0,,,,
-0.005399856,0.082304527,0,,,,
-0.00539952,0.24691358,0,,,,
-0.005399184,0.411522634,0,,,,
-0.005398848,0.329218107,0,,,,
-0.005398512,-0.082304527,0,,,,
-0.005398176,-0.411522634,0,,,,
-0.00539784,-0.576131687,0,,,,
-0.005397504,-0.329218107,0,,,,
-0.005397168,-0.164609053,0,,,,
-0.005396832,-0.658436214,0,,,,
-0.005396496,-0.740740741,0,,,,
-0.00539616,1.316872428,0,,,,
-0.005395824,0.164609053,0,,,,
-0.005395488,0.164609053,0,,,,
-0.005395152,2.99E-13,0,,,,
-0.005394816,-0.905349794,0,,,,
-0.00539448,-0.164609053,0,,,,
-0.005394144,-0.49382716,0,,,,
-0.005393808,0.082304527,0,,,,
-0.005393472,0.24691358,0,,,,
-0.005393136,0,0,,,,
-0.0053928,0.49382716,0,,,,
-0.005392464,0.164609053,0,,,,
-0.005392128,0.164609053,0,,,,
-0.005391792,-0.329218107,0,,,,
-0.005391456,-0.576131687,0,,,,
-0.00539112,-0.411522634,0,,,,
-0.005390784,-0.329218107,0,,,,
-0.005390448,0.082304527,0,,,,
-0.005390112,0.082304527,0,,,,
-0.005389776,0.329218107,0,,,,
-0.00538944,0.411522634,0,,,,
-0.005389104,0.329218107,0,,,,
-0.005388768,0.082304527,0,,,,
-0.005388432,-0.411522634,0,,,,
-0.005388096,-0.49382716,0,,,,
-0.00538776,-0.49382716,0,,,,
-0.005387424,-0.24691358,0,,,,
-0.005387088,0,0,,,,
-0.005386752,1.810699588,0,,,,
-0.005386416,1.810699588,0,,,,
-0.00538608,-0.164609053,0,,,,
-0.005385744,0.411522634,0,,,,
-0.005385408,-0.082304527,0,,,,
-0.005385072,-0.411522634,0,,,,
-0.005384736,-0.49382716,0,,,,
-0.0053844,-0.411522634,0,,,,
-0.005384064,-0.164609053,0,,,,
-0.005383728,0,0,,,,
-0.005383392,0.24691358,0,,,,
-0.005383056,0.411522634,0,,,,
-0.00538272,0.411522634,0,,,,
-0.005382384,0,0,,,,
-0.005382048,-0.411522634,0,,,,
-0.005381712,-0.49382716,0,,,,
-0.005381376,-0.411522634,0,,,,
-0.00538104,0,0,,,,
-0.005380704,-0.082304527,0,,,,
-0.005380368,0.49382716,0,,,,
-0.005380032,0.329218107,0,,,,
-0.005379696,0.411522634,0,,,,
-0.00537936,-0.082304527,0,,,,
-0.005379024,-0.49382716,0,,,,
-0.005378688,-0.411522634,0,,,,
-0.005378352,-0.49382716,0,,,,
-0.005378016,-8.98E-13,0,,,,
-0.00537768,0,0,,,,
-0.005377344,0.329218107,0,,,,
-0.005377008,1.069958848,0,,,,
-0.005376672,-1.069958848,0,,,,
-0.005376336,-1.728395062,0,,,,
-0.005376,-0.411522634,0,,,,
-0.005375664,-0.49382716,0,,,,
-0.005375328,-0.329218107,0,,,,
