#Digilent WaveForms Oscilloscope Acquisition,,,,,,,
#Device Name: ADP5250-323F81C,,,,,,,
#Serial Number: SN:323F81C,,,,,,,
#Date Time: 2023-02-10 16:40:05.542.275.499,,,,,,,
#Sample rate: 2.97619e+06Hz,,,,,,,
#Samples: 32768,,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto,,,,,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average,,,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full,,,,,,,
,,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,,
-0.005458801,-0.576131687,0,,,,,
-0.005458465,-0.823045267,0,,,,,
-0.005458129,-2.633744856,0,,,,,
-0.005457793,-1.810699588,0,,,,,
-0.005457457,0.658436214,0,,,,,
-0.005457121,0.740740741,0,,,,,
-0.005456785,0.823045267,0,,,,,
-0.005456449,0.49382716,0,,,,,
-0.005456113,0.329218107,0,,,,,
-0.005455777,-0.329218107,0,,,,,
-0.005455441,-0.987654321,0,,,,,
-0.005455105,-1.234567901,0,,,,,
-0.005454769,-0.823045267,0,,,,,
-0.005454433,-0.082304527,0,,,,,
-0.005454097,0.329218107,0,,,,,
-0.005453761,0.905349794,0,,,,,
-0.005453425,0.658436214,0,,,,,
-0.005453089,0.576131687,0,,,,,
-0.005452753,0.164609053,0,,,,,
-0.005452417,-0.658436214,0,,,,,
-0.005452081,-0.987654321,0,,,,,
-0.005451745,-1.234567901,0,,,,,
-0.005451409,-0.49382716,0,,,,,
-0.005451073,0,0,,,,,
-0.005450737,0.658436214,0,,,,,
-0.005450401,0.823045267,0,,,,,
-0.005450065,0.740740741,0,,,,,
-0.005449729,0.740740741,0,,,,,
-0.005449393,-0.164609053,0,,,,,
-0.005449057,-0.740740741,0,,,,,
-0.005448721,-1.316872428,0,,,,,
-0.005448385,-1.152263374,0,,,,,
-0.005448049,1.234567901,0,,,,,
-0.005447713,1.316872428,0,,,,,
-0.005447377,1.234567901,0,,,,,
-0.005447041,0.411522634,0,,,,,
-0.005446705,1.069958848,0,,,,,
-0.005446369,0.905349794,0,,,,,
-0.005446033,-0.49382716,0,,,,,
-0.005445697,-0.987654321,0,,,,,
-0.005445361,-1.316872428,0,,,,,
-0.005445025,-0.658436214,0,,,,,
-0.005444689,-0.49382716,0,,,,,
-0.005444353,-0.411522634,0,,,,,
-0.005444017,0.164609053,0,,,,,
-0.005443681,0.905349794,0,,,,,
-0.005443345,1.152263374,0,,,,,
-0.005443009,0.740740741,0,,,,,
-0.005442673,-0.24691358,0,,,,,
-0.005442337,-0.823045267,0,,,,,
-0.005442001,-0.658436214,0,,,,,
-0.005441665,-0.329218107,0,,,,,
-0.005441329,0.082304527,0,,,,,
-0.005440993,0.164609053,0,,,,,
-0.005440657,0.082304527,0,,,,,
-0.005440321,0.082304527,0,,,,,
-0.005439985,0,0,,,,,
-0.005439649,-0.164609053,0,,,,,
-0.005439313,-0.658436214,0,,,,,
-0.005438977,-0.411522634,0,,,,,
-0.005438641,-0.24691358,0,,,,,
-0.005438305,-0.164609053,0,,,,,
-0.005437969,1.975308642,0,,,,,
-0.005437633,1.152263374,0,,,,,
-0.005437297,0.329218107,0,,,,,
-0.005436961,-0.082304527,0,,,,,
-0.005436625,-0.411522634,0,,,,,
-0.005436289,-0.740740741,0,,,,,
-0.005435953,-0.576131687,0,,,,,
-0.005435617,-0.082304527,0,,,,,
-0.005435281,0.082304527,0,,,,,
-0.005434945,0.49382716,0,,,,,
-0.005434609,0.329218107,0,,,,,
-0.005434273,0.49382716,0,,,,,
-0.005433937,0.329218107,0,,,,,
-0.005433601,-0.905349794,0,,,,,
-0.005433265,-0.740740741,0,,,,,
-0.005432929,-0.905349794,0,,,,,
-0.005432593,7.49E-13,0,,,,,
-0.005432257,0.411522634,0,,,,,
-0.005431921,0.49382716,0,,,,,
-0.005431585,0.576131687,0,,,,,
-0.005431249,0.24691358,0,,,,,
-0.005430913,0.082304527,0,,,,,
-0.005430577,-0.411522634,0,,,,,
-0.005430241,-0.658436214,0,,,,,
-0.005429905,-0.823045267,0,,,,,
-0.005429569,-0.49382716,0,,,,,
-0.005429233,0.164609053,0,,,,,
-0.005428897,0.658436214,0,,,,,
-0.005428561,0.987654321,0,,,,,
-0.005428225,1.316872428,0,,,,,
-0.005427889,-1.069958848,0,,,,,
-0.005427553,-2.222222222,0,,,,,
-0.005427217,-0.987654321,0,,,,,
-0.005426881,-1.069958848,0,,,,,
-0.005426545,-0.658436214,0,,,,,
-0.005426209,7.49E-13,0,,,,,
-0.005425873,0.411522634,0,,,,,
-0.005425537,0.905349794,0,,,,,
-0.005425201,0.905349794,0,,,,,
-0.005424865,0.740740741,0,,,,,
-0.005424529,-0.24691358,0,,,,,
-0.005424193,-0.987654321,0,,,,,
-0.005423857,-0.987654321,0,,,,,
-0.005423521,-0.740740741,0,,,,,
-0.005423185,0,0,,,,,
-0.005422849,0.164609053,0,,,,,
-0.005422513,0.411522634,0,,,,,
-0.005422177,0.49382716,0,,,,,
-0.005421841,0.49382716,0,,,,,
-0.005421505,0.082304527,0,,,,,
-0.005421169,-0.658436214,0,,,,,
-0.005420833,-0.576131687,0,,,,,
-0.005420497,-0.49382716,0,,,,,
-0.005420161,0.082304527,0,,,,,
-0.005419825,0.576131687,0,,,,,
-0.005419489,-0.164609053,0,,,,,
-0.005419153,0.987654321,0,,,,,
-0.005418817,-0.164609053,0,,,,,
-0.005418481,0.164609053,0,,,,,
-0.005418145,-2.139917695,0,,,,,
-0.005417809,-1.069958848,0,,,,,
-0.005417473,0.740740741,0,,,,,
-0.005417137,-0.329218107,0,,,,,
-0.005416801,0.329218107,0,,,,,
-0.005416465,0,0,,,,,
-0.005416129,0.329218107,0,,,,,
-0.005415793,0.411522634,0,,,,,
-0.005415457,0.24691358,0,,,,,
-0.005415121,0.082304527,0,,,,,
-0.005414785,-0.740740741,0,,,,,
-0.005414449,-0.576131687,0,,,,,
-0.005414113,-0.24691358,0,,,,,
-0.005413777,0.082304527,0,,,,,
-0.005413441,0.329218107,0,,,,,
-0.005413105,0.329218107,0,,,,,
-0.005412769,0.329218107,0,,,,,
-0.005412433,-0.164609053,0,,,,,
-0.005412097,-0.658436214,0,,,,,
-0.005411761,-0.987654321,0,,,,,
-0.005411425,-0.411522634,0,,,,,
-0.005411089,0.082304527,0,,,,,
-0.005410753,0.576131687,0,,,,,
-0.005410417,0.823045267,0,,,,,
-0.005410081,0.823045267,0,,,,,
-0.005409745,0.658436214,0,,,,,
-0.005409409,-0.24691358,0,,,,,
-0.005409073,-0.905349794,0,,,,,
-0.005408737,-1.316872428,0,,,,,
-0.005408401,-1.399176955,0,,,,,
-0.005408065,0.987654321,0,,,,,
-0.005407729,1.728395062,0,,,,,
-0.005407393,0.658436214,0,,,,,
-0.005407057,0.823045267,0,,,,,
-0.005406721,0.987654321,0,,,,,
-0.005406385,0.164609053,0,,,,,
